inventory_id,url,note
SRC-000007,"https://www.youtube.com/watch?v=klkEKMTe3OY
10
Fal",Detected in extracted text; validate before reuse.
SRC-000008,http://n,Detected in extracted text; validate before reuse.
SRC-000008,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000008,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000010,"https://www.youtube.com/watch?v=1rqXBaJBj6o
Other video",Detected in extracted text; validate before reuse.
SRC-000010,https://www.youtube.com/watch?v=C,Detected in extracted text; validate before reuse.
SRC-000010,"https://www.youtube.com/watch?v=cCn-RpASTwM
Helping Your Daughter to Become a Confident Woman - Meg Meeker Part 1 -
http",Detected in extracted text; validate before reuse.
SRC-000010,"https://www.youtube.com/watch?v=pf_dh0iFY3o
Rai",Detected in extracted text; validate before reuse.
SRC-000010,"https://www.youtube.com/watch?v=xuAZg3tWyI8
Rai",Detected in extracted text; validate before reuse.
SRC-000018,http://n,Detected in extracted text; validate before reuse.
SRC-000018,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000018,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000019,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000020,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000021,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000025,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000027,http://n,Detected in extracted text; validate before reuse.
SRC-000027,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000027,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000031,https://www.youtube.com/watch?v=dX,Detected in extracted text; validate before reuse.
SRC-000031,https://youtu.be/7MQUIY,Detected in extracted text; validate before reuse.
SRC-000032,https://www.pnp.co.za/,Detected in extracted text; validate before reuse.
SRC-000032,https://www.pnp.co.za/delivery-detail,Detected in extracted text; validate before reuse.
SRC-000032,https://www.pnp.co.za/my-account/order,Detected in extracted text; validate before reuse.
SRC-000033,https://www.pnp.co.za/,Detected in extracted text; validate before reuse.
SRC-000033,https://www.pnp.co.za/delivery-detail,Detected in extracted text; validate before reuse.
SRC-000033,https://www.pnp.co.za/my-account/order,Detected in extracted text; validate before reuse.
SRC-000034,http://n,Detected in extracted text; validate before reuse.
SRC-000034,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000034,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000042,https://map,Detected in extracted text; validate before reuse.
SRC-000072,http://n,Detected in extracted text; validate before reuse.
SRC-000072,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000072,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000073,http://n,Detected in extracted text; validate before reuse.
SRC-000073,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000073,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000085,"https://www.youtube.com/watch?v=klkEKMTe3OY
10
Fal",Detected in extracted text; validate before reuse.
SRC-000086,http://n,Detected in extracted text; validate before reuse.
SRC-000086,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000086,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000088,"https://www.youtube.com/watch?v=1rqXBaJBj6o
Other video",Detected in extracted text; validate before reuse.
SRC-000088,https://www.youtube.com/watch?v=C,Detected in extracted text; validate before reuse.
SRC-000088,"https://www.youtube.com/watch?v=cCn-RpASTwM
Helping Your Daughter to Become a Confident Woman - Meg Meeker Part 1 -
http",Detected in extracted text; validate before reuse.
SRC-000088,"https://www.youtube.com/watch?v=pf_dh0iFY3o
Rai",Detected in extracted text; validate before reuse.
SRC-000088,"https://www.youtube.com/watch?v=xuAZg3tWyI8
Rai",Detected in extracted text; validate before reuse.
SRC-000096,http://n,Detected in extracted text; validate before reuse.
SRC-000096,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
SRC-000096,http://www.w3.org/[REDACTED_NUMBER]-rdf-,Detected in extracted text; validate before reuse.
SRC-000097,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000098,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000099,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000103,https://www.google.com/map,Detected in extracted text; validate before reuse.
SRC-000105,http://n,Detected in extracted text; validate before reuse.
SRC-000105,http://purl.org/dc/element,Detected in extracted text; validate before reuse.
